Total Nacional;Comunidades y Ciudades Autónomas;Tipo de tareas informáticas;Periodo;Total
Total Nacional;Castilla y León;Instalar o configurar software o aplicaciones (apps);2023;65,5
Total Nacional;Castilla y León;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Castilla y León;Instalar o configurar software o aplicaciones (apps);2021;62,3
Total Nacional;Castilla y León;Instalar o configurar software o aplicaciones (apps);2020;57,5
Total Nacional;Castilla y León;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Castilla y León;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Castilla y León;Copiar o mover ficheros o carpetas;2023;61,2
Total Nacional;Castilla y León;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Castilla y León;Copiar o mover ficheros o carpetas;2021;65
Total Nacional;Castilla y León;Copiar o mover ficheros o carpetas;2020;59
Total Nacional;Castilla y León;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Castilla y León;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
Total Nacional;Castilla y León;Crear presentaciones o documentos que integren texto, tablas o gráficos;2023;49,3
Total Nacional;Castilla y León;Crear presentaciones o documentos que integren texto, tablas o gráficos;2022;""
Total Nacional;Castilla y León;Crear presentaciones o documentos que integren texto, tablas o gráficos;2021;47,3
Total Nacional;Castilla y León;Crear presentaciones o documentos que integren texto, tablas o gráficos;2020;41,4
Total Nacional;Castilla y León;Usar hojas de cálculo;2025;""
Total Nacional;Castilla y León;Usar hojas de cálculo;2024;..
Total Nacional;Castilla y León;Usar hojas de cálculo;2023;38,5
Total Nacional;Castilla y León;Usar hojas de cálculo;2022;""
Total Nacional;Castilla y León;Usar hojas de cálculo;2021;38,9
Total Nacional;Castilla y León;Usar hojas de cálculo;2020;36,7
Total Nacional;Castilla y León;Programar en un lenguaje de programación;2025;""
Total Nacional;Castilla y León;Programar en un lenguaje de programación;2024;..
Total Nacional;Castilla y León;Programar en un lenguaje de programación;2023;8,9
Total Nacional;Castilla y León;Programar en un lenguaje de programación;2022;""
Total Nacional;Castilla y León;Programar en un lenguaje de programación;2021;5,6
Total Nacional;Castilla y León;Programar en un lenguaje de programación;2020;5,1
Total Nacional;Castilla - La Mancha;Utilizar al menos un conocimiento informático;2025;""
Total Nacional;Castilla - La Mancha;Utilizar al menos un conocimiento informático;2024;..
Total Nacional;Castilla - La Mancha;Utilizar al menos un conocimiento informático;2023;73,9
Total Nacional;Castilla - La Mancha;Utilizar al menos un conocimiento informático;2022;""
Total Nacional;Castilla - La Mancha;Utilizar al menos un conocimiento informático;2021;71,6
Total Nacional;Castilla - La Mancha;Utilizar al menos un conocimiento informático;2020;68,6
Total Nacional;Castilla - La Mancha;Transferir ficheros entre el ordenador y otros dispositivos;2025;""
Total Nacional;Castilla - La Mancha;Transferir ficheros entre el ordenador y otros dispositivos;2024;..
